Owner_info,No_BHK,Locality_info,Price_info,Construction_info,Area_info,Rate_per_sqft
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1520,"2,368 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1520,"2,368 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1040,"3,461 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1520,"2,368 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1560,"2,307 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1170,"2,222 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1040,"3,461 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1040,"3,461 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1560,"2,307 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1560,"2,307 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1040,"3,461 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1560,"2,307 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1040,"3,461 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1040,"3,461 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,3,muthangi, 36 L,Under Construction,1520,"2,368 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1170,"2,222 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 34 L,Under Construction,1040,"3,269 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Miyapur, 35.7 L,Under Construction,1020,"3,500 / sq ft"
OWNER,3,Miyapur, 54.6 L,Under Construction,1560,"3,500 / sq ft"
OWNER,2,Miyapur, 44 L,Under Construction,1050,"4,190 / sq ft"
OWNER,2,muthangi, 35 L,Under Construction,1560,"2,243 / sq ft"
OWNER,2,muthangi, 35 L,Under Construction,1560,"2,243 / sq ft"
OWNER,2,muthangi, 35 L,Under Construction,1560,"2,243 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 35 L,Under Construction,1560,"2,243 / sq ft"
OWNER,2,muthangi, 35 L,Under Construction,1560,"2,243 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 34 L,Under Construction,1040,"3,269 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,muthangi, 35 L,Under Construction,1560,"2,243 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 34 L,Under Construction,1040,"3,269 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,muthangi, 26 L,Under Construction,1150,"2,260 / sq ft"
OWNER,2,Chandanagar Vill, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1150,"3,130 / sq ft"
OWNER,2,Chandanagar, 34 L,Under Construction,1040,"3,269 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1240,"3,548 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Chandanagar, 37 L,Under Construction,1040,"3,557 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1060,"3,584 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Miyapur, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1260,"3,492 / sq ft"
OWNER,2,Chandanagar, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,2,Chandanagar, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,2,Chandanagar, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,3,Miyapur, 43.4 L,Under Construction,1240,"3,500 / sq ft"
OWNER,2,Chandanagar, 36 L,Under Construction,1020,"3,529 / sq ft"
OWNER,2,Chandanagar, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,3,Nizampet, 59 L,Ready to move,1705,"3,460 / sq ft"
OWNER,3,Nizampet, 59 L,Ready to move,1705,"3,460 / sq ft"
OWNER,2,Manikonda, 70 L,Ready to move,1300,"5,384 / sq ft"
OWNER,3,Chandanagar, 44 L,Under Construction,1260,"3,492 / sq ft"
OWNER,2,Chandanagar, 38 L,Under Construction,1040,"3,653 / sq ft"
OWNER,2,Manikonda, 70 L,Ready to move,1300,"5,384 / sq ft"
